City,Insurer,Q1,Q2,Q5a,Q8_1
DELHI,National Insurance,9,,,9.0
KANPUR,ICICI Lombard,7,,,9.0
INDORE,ACKO,10,,9.0,9.0
MUMBAI,ICICI Lombard,9,,9.0,9.0
AHMEDABAD,Bagic,9,,10.0,10.0
INDORE,Go Digit,9,10.0,9.0,
KANPUR,New India,10,,,8.0
CHENNAI,HDFC Ergo,7,,10.0,6.0
MUMBAI,Go Digit,10,,,9.0
INDORE,New India,10,10.0,,
INDORE,ICICI Lombard,8,,,10.0
CHENNAI,National Insurance,9,,8.0,8.0
MUMBAI,ACKO,5,,4.0,3.0
CHENNAI,ACKO,8,,,9.0
KOLKATA,Go Digit,9,,9.0,9.0
AHMEDABAD,ICICI Lombard,10,,8.0,8.0
AHMEDABAD,Go Digit,8,9.0,9.0,
JAIPUR,ACKO,10,,10.0,10.0
KOLKATA,ICICI Lombard,10,,,9.0
MUMBAI,ICICI Lombard,9,10.0,,
DELHI,National Insurance,5,,,3.0
LUDHIANA,National Insurance,6,,,6.0
HYDERABAD,New India,10,,,10.0
LUDHIANA,New India,7,,,8.0
LUDHIANA,Go Digit,9,10.0,,
DELHI,Bagic,9,,,10.0
INDORE,HDFC Ergo,8,,,9.0
AHMEDABAD,ICICI Lombard,7,,,8.0
KOLKATA,Bagic,9,,,9.0
AHMEDABAD,Go Digit,9,,10.0,7.0
PUNE,ACKO,9,10.0,,
PUNE,Go Digit,9,,,10.0
JAIPUR,Tata AIG,9,,9.0,9.0
AHMEDABAD,Bagic,7,,7.0,6.0
PUNE,ACKO,9,,,10.0
KOLKATA,ACKO,9,,,8.0
INDORE,ACKO,9,10.0,,
CHENNAI,ICICI Lombard,7,,,9.0
AHMEDABAD,ACKO,10,8.0,,
PUNE,HDFC Ergo,10,,9.0,9.0
JAIPUR,ICICI Lombard,10,,,10.0
DELHI,Bagic,10,,,10.0
JAIPUR,ACKO,7,,,7.0
HYDERABAD,New India,5,,8.0,7.0
HYDERABAD,New India,10,,,9.0
INDORE,ICICI Lombard,9,10.0,,
KANPUR,Go Digit,9,,,10.0
MUMBAI,ICICI Lombard,7,8.0,,
JAIPUR,Go Digit,10,,,9.0
HYDERABAD,National Insurance,9,,,8.0
LUDHIANA,Bagic,10,10.0,,
BANGALORE,Bagic,9,10.0,,
JAIPUR,New India,9,,,8.0
LUDHIANA,ACKO,10,,,10.0
MUMBAI,Bagic,10,,,8.0
JAIPUR,New India,9,,9.0,7.0
KOLKATA,Go Digit,8,,9.0,9.0
KOLKATA,ACKO,2,,,5.0
KOLKATA,National Insurance,9,,,7.0
KANPUR,Bagic,8,,,8.0
DELHI,Tata AIG,8,,,8.0
PUNE,ICICI Lombard,9,,,10.0
HYDERABAD,New India,8,,,6.0
AHMEDABAD,HDFC Ergo,2,,,1.0
LUDHIANA,National Insurance,6,,,4.0
HYDERABAD,Go Digit,9,,7.0,9.0
JAIPUR,Bagic,9,10.0,,
CHENNAI,National Insurance,9,,9.0,7.0
CHENNAI,ICICI Lombard,7,8.0,,
AHMEDABAD,Bagic,10,,,9.0
KANPUR,ICICI Lombard,9,9.0,9.0,
KOLKATA,Bagic,9,,9.0,7.0
KOLKATA,ACKO,7,,,10.0
HYDERABAD,Go Digit,10,,,9.0
